n_fds,round,n_attrs,fds,order_secs,graph_secs,repair_secs,total_secs
1,1,2,facility_id->address,0.001,0.0555,0.0982,0.1547
1,2,2,zip_code->state,0.0006,0.0703,0.11,0.181
1,3,2,measure_name->measure_id,0.0022,0.0304,0.0808,0.1134
1,4,2,telephone_number->state,0.0007,0.0342,0.0896,0.1245
1,5,2,zip_code->county_parish,0.0007,0.058,0.1101,0.1687
1,6,2,facility_id->telephone_number,0.0008,0.0637,0.1161,0.1806
1,7,2,facility_id->facility_name,0.001,0.0617,0.1024,0.1651
1,8,2,zip_code->state,0.001,0.0605,0.1062,0.1676
1,9,2,facility_id->telephone_number,0.0019,0.0698,0.104,0.1757
1,10,2,zip_code->state,0.0007,0.0553,0.09,0.1459
1,11,2,facility_id->facility_name,0.0009,0.0364,0.0853,0.1227
1,12,2,facility_id->facility_name,0.0007,0.0566,0.0877,0.1451
1,13,2,telephone_number->state,0.0007,0.0605,0.1035,0.1647
1,14,2,measure_name->measure_id,0.0018,0.0539,0.1053,0.1611
1,15,2,facility_id->facility_name,0.0007,0.0563,0.0958,0.1528
1,16,2,telephone_number->state,0.0007,0.0425,0.0858,0.1291
1,17,2,measure_id->measure_name,0.0007,0.03,0.0762,0.1068
1,18,2,telephone_number->state,0.0009,0.0351,0.0862,0.1223
1,19,2,zip_code->county_parish,0.0004,0.063,0.0958,0.1592
1,20,2,measure_name->measure_id,0.0007,0.0479,0.1008,0.1494
1,21,2,measure_name->measure_id,0.0011,0.0579,0.1051,0.1641
1,22,2,zip_code->state,0.0007,0.0638,0.0811,0.1455
1,23,2,facility_id->address,0.0007,0.0385,0.0923,0.1316
1,24,2,facility_id->address,0.0009,0.0565,0.0892,0.1467
1,25,2,facility_id->facility_name,0.0009,0.0562,0.0888,0.1459
1,26,2,measure_id->measure_name,0.0007,0.0524,0.0752,0.1282
1,27,2,facility_id->address,0.001,0.1299,0.0875,0.2183
1,28,2,measure_name->measure_id,0.0007,0.0292,0.0768,0.1067
1,29,2,telephone_number->state,0.0005,0.0566,0.1144,0.1715
2,1,4,telephone_number->state; measure_name->measure_id,0.001,0.0598,0.1068,0.1676
2,2,4,facility_id->facility_name; measure_name->measure_id,0.0009,0.0615,0.1083,0.1707
2,3,4,facility_id->facility_name; zip_code->county_parish,0.0009,0.0674,0.1204,0.1887
2,4,4,facility_id->telephone_number; measure_id->measure_name,0.0009,0.0596,0.1114,0.172
2,5,4,facility_id->address; measure_name->measure_id,0.0012,0.0617,0.1084,0.1712
2,6,3,facility_id->facility_name; facility_id->telephone_number,0.0008,0.0664,0.1185,0.1857
2,7,4,zip_code->state; measure_name->measure_id,0.0009,0.059,0.1023,0.1622
2,8,3,zip_code->state; telephone_number->state,0.0023,0.071,0.1277,0.2009
2,9,4,facility_id->facility_name; zip_code->state,0.0009,0.1174,0.1204,0.2387
2,10,4,telephone_number->state; measure_id->measure_name,0.001,0.0616,0.1088,0.1714
2,11,4,zip_code->county_parish; measure_id->measure_name,0.0016,0.0596,0.1138,0.1749
2,12,3,zip_code->county_parish; zip_code->state,0.0014,0.067,0.1215,0.1899
2,13,4,facility_id->telephone_number; zip_code->county_parish,0.001,0.0709,0.12,0.1919
2,14,3,facility_id->address; facility_id->telephone_number,0.0049,0.0675,0.1139,0.1863
2,15,3,facility_id->address; facility_id->facility_name,0.0015,0.0661,0.1171,0.1847
2,16,4,facility_id->address; measure_id->measure_name,0.001,0.0652,0.1098,0.176
2,17,4,facility_id->facility_name; telephone_number->state,0.0009,0.0686,0.1133,0.1828
2,18,2,measure_id->measure_name; measure_name->measure_id,0.0009,0.0544,0.0932,0.1484
2,19,4,zip_code->state; measure_id->measure_name,0.001,0.0621,0.1095,0.1727
2,20,4,facility_id->address; telephone_number->state,0.0009,0.0669,0.123,0.1909
2,21,4,facility_id->address; zip_code->state,0.0013,0.0645,0.1274,0.1932
2,22,4,facility_id->telephone_number; measure_name->measure_id,0.0014,0.0646,0.1116,0.1775
2,23,4,facility_id->address; zip_code->county_parish,0.0009,0.1266,0.124,0.2515
2,24,3,facility_id->telephone_number; telephone_number->state,0.0008,0.0819,0.1478,0.2306
2,25,4,facility_id->facility_name; measure_id->measure_name,0.001,0.1117,0.1323,0.245
2,26,4,facility_id->telephone_number; zip_code->state,0.0011,0.1227,0.1203,0.2441
2,27,4,zip_code->county_parish; measure_name->measure_id,0.0028,0.0656,0.1091,0.1775
2,28,4,facility_id->address; measure_id->measure_name,0.0009,0.0607,0.1111,0.1726
2,29,2,measure_id->measure_name; measure_name->measure_id,0.0008,0.0496,0.0955,0.146
3,1,5,facility_id->address; facility_id->facility_name; zip_code->county_parish,0.001,0.0998,0.1487,0.2496
3,2,4,facility_id->facility_name; facility_id->telephone_number; telephone_number->state,0.001,0.1108,0.193,0.3048
3,3,5,facility_id->telephone_number; zip_code->county_parish; zip_code->state,0.0011,0.0938,0.1542,0.2491
3,4,4,zip_code->state; measure_id->measure_name; measure_name->measure_id,0.0012,0.0875,0.1366,0.2253
3,5,6,facility_id->address; zip_code->county_parish; measure_name->measure_id,0.0012,0.0957,0.1409,0.2377
3,6,5,facility_id->telephone_number; zip_code->county_parish; telephone_number->state,0.0011,0.1151,0.1661,0.2823
3,7,6,facility_id->address; zip_code->county_parish; measure_id->measure_name,0.0013,0.0937,0.1381,0.2331
3,8,4,zip_code->county_parish; zip_code->state; telephone_number->state,0.0011,0.0997,0.1386,0.2393
3,9,6,facility_id->facility_name; telephone_number->state; measure_id->measure_name,0.0012,0.096,0.1383,0.2355
3,10,5,facility_id->address; facility_id->telephone_number; zip_code->county_parish,0.001,0.091,0.1599,0.2519
3,11,5,facility_id->address; facility_id->telephone_number; measure_id->measure_name,0.0007,0.1753,0.162,0.338
3,12,6,facility_id->address; zip_code->county_parish; telephone_number->state,0.0014,0.1023,0.1618,0.2655
3,13,6,facility_id->address; telephone_number->state; measure_id->measure_name,0.0011,0.0994,0.1439,0.2445
3,14,5,facility_id->address; facility_id->facility_name; measure_name->measure_id,0.0016,0.0925,0.1385,0.2326
3,15,6,facility_id->telephone_number; zip_code->county_parish; measure_id->measure_name,0.0012,0.1798,0.1555,0.3365
3,16,5,facility_id->facility_name; zip_code->state; telephone_number->state,0.0015,0.1947,0.1401,0.3364
3,17,6,facility_id->facility_name; zip_code->county_parish; measure_id->measure_name,0.0012,0.1624,0.1515,0.3151
3,18,4,facility_id->address; facility_id->facility_name; facility_id->telephone_number,0.0011,0.099,0.1435,0.2436
3,19,4,facility_id->address; measure_id->measure_name; measure_name->measure_id,0.0005,0.0848,0.1787,0.264
